#Energy           TDOS-UP         TDOS-DOWN
-20.911708        0.000000        0.000000
-20.880708        0.000000        0.000000
-20.849708        0.000000        0.000000
-20.818708        0.000000        0.000000
-20.787708        0.000000        0.000000
-20.756708        0.000000        0.000000
-20.725708        0.000000        0.000000
-20.694708        0.000000        0.000000
-20.663708        0.000000        0.000000
-20.632708        0.000000        0.000000
-20.601708        0.000000        0.000000
-20.570708        0.000000        0.000000
-20.539708        0.000000        0.000000
-20.508708        0.000000        0.000000
-20.477708        0.000000        0.000000
-20.446708        0.000000        0.000000
-20.415708        0.000000        0.000000
-20.384708        0.000000        0.000000
-20.353708        0.000000        0.000000
-20.322708        0.000000        0.000000
-20.291708        0.000000        0.000000
-20.260708        0.000000        0.000000
-20.229708        0.000000        0.000000
-20.198708        0.000000        0.000000
-20.167708        0.000000        0.000000
-20.136708        0.000000        0.000000
-20.106708        0.000000        0.000000
-20.075708        0.000000        0.000000
-20.044708        0.000000        0.000000
-20.013708        0.000000        0.000000
-19.982708        0.000000        0.000000
-19.951708        0.000000        0.000000
-19.920708        0.000000        0.000000
-19.889708        0.000000        0.000000
-19.858708        0.000000        0.000000
-19.827708        0.000000        0.000000
-19.796708        0.000000        0.000000
-19.765708        0.000000        0.000000
-19.734708        0.000000        0.000000
-19.703708        0.000000        0.000000
-19.672708        0.000000        0.000000
-19.641708        0.000000        0.000000
-19.610708        0.000000        0.000000
-19.579708        0.000000        0.000000
-19.548708        0.000000        0.000000
-19.517708        0.000000        0.000000
-19.486708        1.360000        1.360000
-19.455708        1.380000        1.380000
-19.424708        1.384000        1.384000
-19.393708        1.385000        1.385000
-19.362708        1.383000        1.383000
-19.331708        1.380000        1.380000
-19.300708        1.382000        1.382000
-19.269708        1.384000        1.384000
-19.238708        1.385000        1.385000
-19.207708        1.384000        1.384000
-19.176708        1.385000        1.385000
-19.145708        1.385000        1.385000
-19.114708        1.389000        1.389000
-19.083708        1.391000        1.391000
-19.052708        1.388000        1.388000
-19.021708        1.388000        1.388000
-18.990708        1.392000        1.392000
-18.959708        1.391000        1.391000
-18.928708        1.390000        1.390000
-18.897708        1.393000        1.393000
-18.866708        1.477000        1.477000
-18.835708        1.269000        1.269000
-18.804708        1.224000        1.224000
-18.773708        1.257000        1.257000
-18.742708        1.323000        1.323000
-18.711708        1.332000        1.332000
-18.680708        1.338000        1.338000
-18.649708        1.343000        1.343000
-18.618708        1.346000        1.346000
-18.587708        1.351000        1.351000
-18.556708        1.353000        1.353000
-18.525708        1.358000        1.358000
-18.494708        1.642000        1.642000
-18.463708        1.363000        1.363000
-18.432708        1.520000        1.520000
-18.401708        1.367000        1.367000
-18.370708        1.367000        1.367000
-18.339708        1.419000        1.419000
-18.308708        1.370000        1.370000
-18.277708        1.373000        1.373000
-18.246708        1.417000        1.417000
-18.215708        1.375000        1.375000
-18.184708        1.380000        1.380000
-18.153708        1.414000        1.414000
-18.122708        1.381000        1.381000
-18.091708        1.381000        1.381000
-18.060708        1.445000        1.445000
-18.029708        1.431000        1.431000
-17.998708        1.385000        1.385000
-17.967708        1.388000        1.388000
-17.936708        1.420000        1.420000
-17.905708        1.439000        1.439000
-17.874708        1.389000        1.389000
