      #Energy        TDOS-UP        TDOS-DOWN
     -21.54386       0.00000       0.00000
     -21.48986       0.00000       0.00000
     -21.43586       0.00000       0.00000
     -21.38186       0.00000       0.00000
     -21.32786       0.00000       0.00000
     -21.27486       0.00000       0.00000
     -21.22086       0.00000       0.00000
     -21.16686       0.00000       0.00000
     -21.11286       0.00000       0.00000
     -21.05886       0.00000       0.00000
     -21.00586       0.00000       0.00000
     -20.95186       0.00000       0.00000
     -20.89786       0.00000       0.00000
     -20.84386       0.00000       0.00000
     -20.78986       0.00000       0.00000
     -20.73686       0.00000       0.00000
     -20.68286       0.00000       0.00000
     -20.62886       0.00000       0.00000
     -20.57486       0.00000       0.00000
     -20.52086       0.00000      -0.00000
     -20.46786       0.00000      -0.00000
     -20.41386       0.00000      -0.00000
     -20.35986       0.00016      -0.00000
     -20.30586       0.00286      -0.00000
     -20.25186       0.02999      -0.00014
     -20.19886       0.18190      -0.00255
     -20.14486       0.65210      -0.02731
     -20.09086       1.43800      -0.16940
     -20.03686       2.09700      -0.61980
     -19.98286       2.20400      -1.39000
     -19.92886       1.85400      -2.05600
     -19.87586       1.79100      -2.19800
     -19.82186       2.69800      -1.88700
     -19.76786       3.98000      -1.80700
     -19.71386       4.43400      -2.65700
     -19.65986       3.60800      -3.91200
     -19.60686       2.02000      -4.40500
     -19.55286       0.73380      -3.66900
     -19.49886       0.29170      -2.17600
     -19.44486       0.66260      -1.13500
     -19.39086       1.76300      -1.36700
     -19.33786       2.94900      -2.38500
     -19.28386       3.26300      -2.87600
     -19.22986       2.82100      -2.53600
     -19.17586       2.71600      -2.50800
     -19.12186       4.11800      -3.61200
     -19.06886       6.92200      -5.56100
     -19.01486       9.41900      -6.97400
     -18.96086      10.48000      -7.16100
     -18.90686       9.89700      -7.47500
     -18.85286       7.92600      -8.21200
     -18.79986       5.78000      -8.07400
     -18.74586       4.84300      -7.32400
     -18.69186       5.17100      -6.77900
     -18.63786       5.53800      -6.32500
     -18.58386       4.68900      -5.77000
     -18.53086       2.76400      -4.46000
     -18.47686       1.42600      -2.44300
     -18.42286       1.77000      -1.22000
     -18.36886       3.41700      -1.81300
     -18.31486       5.68100      -4.09000
     -18.26186       8.24800      -6.99900
     -18.20786       9.77100      -8.78500
     -18.15386       8.98700      -8.44400
     -18.09986       7.01900      -7.25900
     -18.04586       5.74100      -6.55000
     -17.99286       6.34600      -6.15700
     -17.93886       8.23800      -6.54900
     -17.88486       9.30200      -8.02600
     -17.83086       8.85400      -9.34900
     -17.77686       7.23000      -9.34200
     -17.72386       4.63000      -7.51800
     -17.66986       2.84400      -4.40000
     -17.61586       3.72400      -2.08600
     -17.56186       6.37700      -2.30800
     -17.50786       8.02100      -4.80400
     -17.45486       7.04900      -7.35300
     -17.40086       4.34400      -7.71700
     -17.34686       2.12800      -5.85100
     -17.29286       2.10600      -3.45900
     -17.23886       4.45100      -2.72500
     -17.18586       7.49800      -4.53600
     -17.13186       8.68000      -7.09500
     -17.07786       7.71000      -7.93800
     -17.02386       7.09900      -7.52300
     -16.96986       8.06600      -8.10100
     -16.91686       9.11800      -9.88900
     -16.86286       8.92900     -10.45000
     -16.80886       7.66800      -8.36900
     -16.75486       6.00000      -5.86600
     -16.70086       4.12300      -4.86400
     -16.64786       2.81100      -4.28000
     -16.59386       3.27300      -3.57500
     -16.53986       5.41500      -3.82700
     -16.48586       8.08800      -5.28600
     -16.43186       9.54900      -7.44800
     -16.37886       8.22800      -9.03200
